9.75	18.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	152,5;	0,0;	0,0
607,4614868164062;	153,75;	0,0;	0,0
607,5878295898438;	148,0;	0,0;	0,0
607,7142944335938;	144,75;	0,0;	0,0
607,8406982421875;	140,75;	0,0;	0,0
607,967041015625;	143,75;	0,0;	0,0
608,0933837890625;	146,75;	0,0;	0,0
608,2197265625;	153,5;	0,0;	0,0
608,3460083007812;	145,75;	0,0;	0,0
608,4723510742188;	147,25;	0,0;	0,0
608,5986328125;	140,25;	0,0;	0,0
608,7249755859375;	148,75;	0,0;	0,0
608,8511352539062;	149,25;	0,0;	0,0
608,9774169921875;	145,75;	0,0;	0,0
609,1036376953125;	148,5;	0,0;	0,0
609,2297973632812;	145,5;	0,0;	0,0
609,3560180664062;	216,75;	0,0;	0,0
609,4822387695312;	224,5;	0,0;	0,0
609,6083374023438;	235,75;	0,0;	0,0
609,7344970703125;	239,75;	0,0;	0,0
609,8606567382812;	250,25;	0,0;	0,0
609,9866943359375;	246,75;	0,0;	0,0
610,11279296875;	259,25;	0,0;	0,0
610,2388916015625;	340,75;	0,0;	0,0
610,3649291992188;	706,25;	0,0;	0,0
610,490966796875;	467,5;	0,0;	0,0
610,6170043945312;	250,75;	0,0;	0,0
610,7430419921875;	251,0;	0,0;	0,0
610,8689575195312;	234,75;	0,0;	0,0
610,9949340820312;	257,5;	0,0;	0,0
611,1209106445312;	233,75;	0,0;	0,0
611,246826171875;	246,25;	0,0;	0,0
611,3727416992188;	220,0;	0,0;	0,0
611,4987182617188;	227,75;	0,0;	0,0
611,6245727539062;	222,75;	0,0;	0,0
611,7504272460938;	235,25;	0,0;	0,0
611,8762817382812;	239,5;	0,0;	0,0
612,0020751953125;	236,0;	0,0;	0,0
612,1279296875;	261,75;	0,0;	0,0
612,2537231445312;	367,75;	0,0;	0,0
