36.0	47.25
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	153,25;	0,0;	0,0
607,4614868164062;	158,0;	0,0;	0,0
607,5878295898438;	145,75;	0,0;	0,0
607,7142944335938;	152,0;	0,0;	0,0
607,8406982421875;	153,75;	0,0;	0,0
607,967041015625;	153,0;	0,0;	0,0
608,0933837890625;	145,5;	0,0;	0,0
608,2197265625;	159,25;	0,0;	0,0
608,3460083007812;	148,0;	0,0;	0,0
608,4723510742188;	153,25;	0,0;	0,0
608,5986328125;	140,5;	0,0;	0,0
608,7249755859375;	145,25;	0,0;	0,0
608,8511352539062;	154,0;	0,0;	0,0
608,9774169921875;	141,5;	0,0;	0,0
609,1036376953125;	150,0;	0,0;	0,0
609,2297973632812;	148,75;	0,0;	0,0
609,3560180664062;	234,0;	0,0;	0,0
609,4822387695312;	233,0;	0,0;	0,0
609,6083374023438;	242,75;	0,0;	0,0
609,7344970703125;	260,0;	0,0;	0,0
609,8606567382812;	265,25;	0,0;	0,0
609,9866943359375;	296,0;	0,0;	0,0
610,11279296875;	343,0;	0,0;	0,0
610,2388916015625;	560,75;	0,0;	0,0
610,3649291992188;	1467,5;	0,0;	0,0
610,490966796875;	883,5;	0,0;	0,0
610,6170043945312;	326,0;	0,0;	0,0
610,7430419921875;	287,0;	0,0;	0,0
610,8689575195312;	256,25;	0,0;	0,0
610,9949340820312;	258,25;	0,0;	0,0
611,1209106445312;	240,75;	0,0;	0,0
611,246826171875;	238,0;	0,0;	0,0
611,3727416992188;	246,0;	0,0;	0,0
611,4987182617188;	228,5;	0,0;	0,0
611,6245727539062;	228,5;	0,0;	0,0
611,7504272460938;	224,75;	0,0;	0,0
611,8762817382812;	230,5;	0,0;	0,0
612,0020751953125;	245,0;	0,0;	0,0
612,1279296875;	262,25;	0,0;	0,0
