27.0	21.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	151,0;	0,0;	0,0
607,4614868164062;	157,75;	0,0;	0,0
607,5878295898438;	148,5;	0,0;	0,0
607,7142944335938;	146,75;	0,0;	0,0
607,8406982421875;	145,0;	0,0;	0,0
607,967041015625;	144,0;	0,0;	0,0
608,0933837890625;	151,25;	0,0;	0,0
608,2197265625;	150,25;	0,0;	0,0
608,3460083007812;	154,75;	0,0;	0,0
608,4723510742188;	150,5;	0,0;	0,0
608,5986328125;	149,0;	0,0;	0,0
608,7249755859375;	158,0;	0,0;	0,0
608,8511352539062;	149,0;	0,0;	0,0
608,9774169921875;	142,25;	0,0;	0,0
609,1036376953125;	149,25;	0,0;	0,0
609,2297973632812;	155,5;	0,0;	0,0
609,3560180664062;	267,5;	0,0;	0,0
609,4822387695312;	267,5;	0,0;	0,0
609,6083374023438;	300,5;	0,0;	0,0
609,7344970703125;	325,5;	0,0;	0,0
609,8606567382812;	364,25;	0,0;	0,0
609,9866943359375;	416,25;	0,0;	0,0
610,11279296875;	550,75;	0,0;	0,0
610,2388916015625;	1125,75;	0,0;	0,0
610,3649291992188;	3503,25;	0,0;	0,0
610,490966796875;	2081,0;	0,0;	0,0
610,6170043945312;	520,0;	0,0;	0,0
610,7430419921875;	376,25;	0,0;	0,0
610,8689575195312;	312,25;	0,0;	0,0
610,9949340820312;	311,5;	0,0;	0,0
611,1209106445312;	281,0;	0,0;	0,0
611,246826171875;	269,0;	0,0;	0,0
611,3727416992188;	275,5;	0,0;	0,0
611,4987182617188;	257,0;	0,0;	0,0
611,6245727539062;	260,25;	0,0;	0,0
611,7504272460938;	250,5;	0,0;	0,0
611,8762817382812;	258,5;	0,0;	0,0
612,0020751953125;	250,25;	0,0;	0,0
612,1279296875;	278,0;	0,0;	0,0
612,2537231445312;	299,0;	0,0;	0,0
612,3794555664062;	262,75;	0,0;	0,0
612,5052490234375;	239,75;	0,0;	0,0
612,6310424804688;	247,0;	0,0;	0,0
612,7567749023438;	223,0;	0,0;	0,0
612,8824462890625;	250,5;	0,0;	0,0
613,0081787109375;	242,25;	0,0;	0,0
613,1339111328125;	246,75;	0,0;	0,0
613,259521484375;	231,0;	0,0;	0,0
613,3851928710938;	259,0;	0,0;	0,0
613,5108642578125;	246,75;	0,0;	0,0
613,6364135742188;	242,5;	0,0;	0,0
613,7620849609375;	259,25;	0,0;	0,0
613,8876953125;	228,5;	0,0;	0,0
614,01318359375;	250,5;	0,0;	0,0
614,1387939453125;	220,75;	0,0;	0,0
614,2643432617188;	252,75;	0,0;	0,0
614,3897705078125;	231,5;	0,0;	0,0
614,5152587890625;	242,75;	0,0;	0,0
614,6408081054688;	233,25;	0,0;	0,0
614,7662963867188;	258,75;	0,0;	0,0
614,8917236328125;	255,25;	0,0;	0,0
615,0171508789062;	238,25;	0,0;	0,0
615,142578125;	248,25;	0,0;	0,0
615,2679443359375;	235,0;	0,0;	0,0
615,3933715820312;	240,75;	0,0;	0,0
615,5187377929688;	254,0;	0,0;	0,0
615,6441040039062;	236,5;	0,0;	0,0
615,7693481445312;	260,5;	0,0;	0,0
615,8947143554688;	259,0;	0,0;	0,0
616,0199584960938;	236,25;	0,0;	0,0
616,145263671875;	274,5;	0,0;	0,0
616,2705688476562;	332,75;	0,0;	0,0
616,3958129882812;	280,25;	0,0;	0,0
616,5210571289062;	251,5;	0,0;	0,0
616,6463012695312;	250,5;	0,0;	0,0
616,771484375;	243,75;	0,0;	0,0
616,8966064453125;	251,25;	0,0;	0,0
617,0217895507812;	257,5;	0,0;	0,0
617,14697265625;	248,75;	0,0;	0,0
617,2720947265625;	243,75;	0,0;	0,0
617,397216796875;	257,25;	0,0;	0,0
617,5222778320312;	237,5;	0,0;	0,0
617,6473388671875;	244,25;	0,0;	0,0
617,7723999023438;	258,75;	0,0;	0,0
617,8975219726562;	257,25;	0,0;	0,0
618,0225219726562;	236,5;	0,0;	0,0
618,1475219726562;	231,25;	0,0;	0,0
618,2725219726562;	246,5;	0,0;	0,0
618,3974609375;	242,25;	0,0;	0,0
618,5224609375;	261,5;	0,0;	0,0
618,6473999023438;	238,75;	0,0;	0,0
618,7723999023438;	238,0;	0,0;	0,0
618,897216796875;	250,75;	0,0;	0,0
619,0221557617188;	255,0;	0,0;	0,0
619,1470336914062;	249,75;	0,0;	0,0
619,2718505859375;	229,75;	0,0;	0,0
619,3966674804688;	223,5;	0,0;	0,0
619,5215454101562;	248,25;	0,0;	0,0
619,6463623046875;	226,0;	0,0;	0,0
619,7711791992188;	229,75;	0,0;	0,0
619,8959350585938;	224,75;	0,0;	0,0
620,0206298828125;	229,25;	0,0;	0,0
620,1454467773438;	247,0;	0,0;	0,0
620,2702026367188;	235,5;	0,0;	0,0
620,394775390625;	236,25;	0,0;	0,0
620,51953125;	244,25;	0,0;	0,0
620,6442260742188;	243,0;	0,0;	0,0
620,7688598632812;	227,0;	0,0;	0,0
620,8934936523438;	224,25;	0,0;	0,0
621,0181274414062;	235,0;	0,0;	0,0
621,1427612304688;	233,0;	0,0;	0,0
621,2672729492188;	226,0;	0,0;	0,0
621,3919067382812;	243,5;	0,0;	0,0
621,5164794921875;	242,5;	0,0;	0,0
621,6409301757812;	242,5;	0,0;	0,0
621,7655029296875;	229,0;	0,0;	0,0
621,8900756835938;	221,0;	0,0;	0,0
622,0144653320312;	232,75;	0,0;	0,0
622,1389770507812;	243,25;	0,0;	0,0
622,2634887695312;	234,25;	0,0;	0,0
622,3878173828125;	231,0;	0,0;	0,0
622,5122680664062;	226,5;	0,0;	0,0
622,6366577148438;	225,25;	0,0;	0,0
622,7611083984375;	217,5;	0,0;	0,0
622,8854370117188;	231,0;	0,0;	0,0
623,009765625;	236,5;	0,0;	0,0
623,1341552734375;	235,75;	0,0;	0,0
623,2584228515625;	226,5;	0,0;	0,0
623,3827514648438;	243,25;	0,0;	0,0
623,507080078125;	238,5;	0,0;	0,0
623,6312866210938;	249,75;	0,0;	0,0
623,7555541992188;	222,75;	0,0;	0,0
623,8797607421875;	254,75;	0,0;	0,0
624,0039672851562;	236,5;	0,0;	0,0
624,128173828125;	251,25;	0,0;	0,0
624,2523803710938;	235,25;	0,0;	0,0
624,37646484375;	232,25;	0,0;	0,0
624,5006713867188;	251,25;	0,0;	0,0
624,624755859375;	240,25;	0,0;	0,0
624,7489624023438;	233,5;	0,0;	0,0
624,8729858398438;	245,5;	0,0;	0,0
624,9970703125;	243,5;	0,0;	0,0
625,1211547851562;	234,0;	0,0;	0,0
625,2451782226562;	242,0;	0,0;	0,0
625,3692016601562;	242,75;	0,0;	0,0
625,4932861328125;	240,25;	0,0;	0,0
625,6171875;	249,25;	0,0;	0,0
625,7412109375;	232,0;	0,0;	0,0
625,8651733398438;	237,5;	0,0;	0,0
625,9890747070312;	224,25;	0,0;	0,0
626,113037109375;	230,0;	0,0;	0,0
626,2369384765625;	241,5;	0,0;	0,0
626,3607788085938;	229,5;	0,0;	0,0
626,4846801757812;	225,25;	0,0;	0,0
626,6085815429688;	247,5;	0,0;	0,0
626,732421875;	229,5;	0,0;	0,0
626,8561401367188;	231,25;	0,0;	0,0
626,9800415039062;	242,25;	0,0;	0,0
627,1038208007812;	233,0;	0,0;	0,0
627,2275390625;	245,75;	0,0;	0,0
627,351318359375;	225,75;	0,0;	0,0
627,4750366210938;	223,0;	0,0;	0,0
627,5986938476562;	237,0;	0,0;	0,0
627,7224731445312;	229,0;	0,0;	0,0
627,84619140625;	231,25;	0,0;	0,0
627,9697875976562;	219,25;	0,0;	0,0
628,093505859375;	238,5;	0,0;	0,0
628,2171020507812;	224,5;	0,0;	0,0
628,3406982421875;	224,5;	0,0;	0,0
628,46435546875;	239,0;	0,0;	0,0
628,5879516601562;	237,0;	0,0;	0,0
628,7114868164062;	228,75;	0,0;	0,0
628,8349609375;	237,75;	0,0;	0,0
628,9585571289062;	217,75;	0,0;	0,0
629,0820922851562;	241,0;	0,0;	0,0
629,20556640625;	234,5;	0,0;	0,0
629,3290405273438;	220,75;	0,0;	0,0
629,4525146484375;	209,75;	0,0;	0,0
629,575927734375;	213,75;	0,0;	0,0
629,6994018554688;	236,0;	0,0;	0,0
629,8228149414062;	219,25;	0,0;	0,0
629,9461669921875;	247,25;	0,0;	0,0
630,0695190429688;	227,25;	0,0;	0,0
630,19287109375;	230,75;	0,0;	0,0
630,316162109375;	230,0;	0,0;	0,0
630,4395751953125;	212,0;	0,0;	0,0
630,5629272460938;	231,5;	0,0;	0,0
630,6862182617188;	238,5;	0,0;	0,0
630,8094482421875;	232,25;	0,0;	0,0
630,9326782226562;	236,0;	0,0;	0,0
631,0559692382812;	230,0;	0,0;	0,0
631,1791381835938;	221,25;	0,0;	0,0
631,3023681640625;	223,25;	0,0;	0,0
631,425537109375;	225,5;	0,0;	0,0
631,5486450195312;	233,0;	0,0;	0,0
631,6718139648438;	238,0;	0,0;	0,0
631,7949829101562;	236,0;	0,0;	0,0
631,9180908203125;	231,5;	0,0;	0,0
632,0411987304688;	223,75;	0,0;	0,0
632,164306640625;	227,0;	0,0;	0,0
632,2872924804688;	226,5;	0,0;	0,0
632,410400390625;	224,0;	0,0;	0,0
632,533447265625;	227,25;	0,0;	0,0
632,656494140625;	238,25;	0,0;	0,0
632,7794189453125;	224,5;	0,0;	0,0
632,9024047851562;	242,25;	0,0;	0,0
633,025390625;	229,5;	0,0;	0,0
633,1483154296875;	223,5;	0,0;	0,0
633,2713012695312;	246,5;	0,0;	0,0
633,3942260742188;	229,25;	0,0;	0,0
633,5170288085938;	228,5;	0,0;	0,0
633,639892578125;	239,25;	0,0;	0,0
633,7628173828125;	229,25;	0,0;	0,0
633,8856201171875;	245,75;	0,0;	0,0
634,0084838867188;	240,5;	0,0;	0,0
634,1312866210938;	242,25;	0,0;	0,0
634,2540283203125;	277,5;	0,0;	0,0
634,3768310546875;	256,5;	0,0;	0,0
634,4995727539062;	289,25;	0,0;	0,0
634,622314453125;	363,25;	0,0;	0,0
634,7449951171875;	363,0;	0,0;	0,0
634,8677368164062;	292,75;	0,0;	0,0
634,9904174804688;	255,75;	0,0;	0,0
635,1130981445312;	235,0;	0,0;	0,0
635,2357177734375;	251,5;	0,0;	0,0
635,3583984375;	248,0;	0,0;	0,0
635,48095703125;	237,25;	0,0;	0,0
635,6035766601562;	241,75;	0,0;	0,0
635,7261962890625;	233,0;	0,0;	0,0
635,8486938476562;	244,75;	0,0;	0,0
635,9712524414062;	227,0;	0,0;	0,0
636,0938110351562;	234,0;	0,0;	0,0
636,21630859375;	241,75;	0,0;	0,0
636,3388061523438;	237,0;	0,0;	0,0
636,4613037109375;	245,75;	0,0;	0,0
636,583740234375;	247,5;	0,0;	0,0
636,7061767578125;	228,0;	0,0;	0,0
636,82861328125;	248,75;	0,0;	0,0
636,9510498046875;	246,5;	0,0;	0,0
637,0734252929688;	261,75;	0,0;	0,0
637,1957397460938;	298,75;	0,0;	0,0
637,3181762695312;	261,0;	0,0;	0,0
637,4404296875;	241,25;	0,0;	0,0
637,5628051757812;	245,25;	0,0;	0,0
637,6851196289062;	244,25;	0,0;	0,0
637,807373046875;	231,75;	0,0;	0,0
637,9296264648438;	232,5;	0,0;	0,0
638,0518798828125;	234,0;	0,0;	0,0
638,1741333007812;	238,5;	0,0;	0,0
638,2963256835938;	246,5;	0,0;	0,0
638,4185791015625;	225,75;	0,0;	0,0
638,5407104492188;	232,25;	0,0;	0,0
638,662841796875;	219,0;	0,0;	0,0
638,7850341796875;	234,75;	0,0;	0,0
638,9071655273438;	221,75;	0,0;	0,0
639,0292358398438;	237,75;	0,0;	0,0
639,1513671875;	221,0;	0,0;	0,0
639,2734375;	229,5;	0,0;	0,0
639,3954467773438;	220,75;	0,0;	0,0
639,517578125;	232,75;	0,0;	0,0
639,6395874023438;	220,75;	0,0;	0,0
639,7615356445312;	223,0;	0,0;	0,0
639,883544921875;	219,75;	0,0;	0,0
640,0055541992188;	226,25;	0,0;	0,0
640,12744140625;	232,25;	0,0;	0,0
640,2493896484375;	214,25;	0,0;	0,0
640,371337890625;	228,5;	0,0;	0,0
640,4932250976562;	235,25;	0,0;	0,0
640,6151733398438;	227,0;	0,0;	0,0
640,7369995117188;	214,5;	0,0;	0,0
640,85888671875;	212,5;	0,0;	0,0
640,9806518554688;	215,75;	0,0;	0,0
641,1024780273438;	234,0;	0,0;	0,0
641,2243041992188;	228,0;	0,0;	0,0
641,3460693359375;	241,25;	0,0;	0,0
641,4678344726562;	214,75;	0,0;	0,0
641,589599609375;	224,25;	0,0;	0,0
641,7112426757812;	216,0;	0,0;	0,0
641,8330078125;	216,0;	0,0;	0,0
641,9547119140625;	216,5;	0,0;	0,0
642,0763549804688;	207,75;	0,0;	0,0
642,197998046875;	219,0;	0,0;	0,0
642,3197021484375;	224,5;	0,0;	0,0
642,4412841796875;	214,0;	0,0;	0,0
642,5628662109375;	219,75;	0,0;	0,0
642,6845092773438;	229,25;	0,0;	0,0
642,8060913085938;	220,5;	0,0;	0,0
642,9276123046875;	223,25;	0,0;	0,0
643,0491943359375;	225,0;	0,0;	0,0
643,1707153320312;	215,75;	0,0;	0,0
643,2921142578125;	211,5;	0,0;	0,0
643,4136352539062;	210,75;	0,0;	0,0
643,5350952148438;	215,0;	0,0;	0,0
643,6565551757812;	228,0;	0,0;	0,0
643,7780151367188;	229,25;	0,0;	0,0
643,8994140625;	281,25;	0,0;	0,0
644,020751953125;	270,25;	0,0;	0,0
644,1421508789062;	213,0;	0,0;	0,0
