33.0	33.75
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	146,5;	0,0;	0,0
607,4614868164062;	153,0;	0,0;	0,0
607,5878295898438;	155,5;	0,0;	0,0
607,7142944335938;	156,25;	0,0;	0,0
607,8406982421875;	146,5;	0,0;	0,0
607,967041015625;	145,25;	0,0;	0,0
608,0933837890625;	147,0;	0,0;	0,0
608,2197265625;	163,25;	0,0;	0,0
608,3460083007812;	144,5;	0,0;	0,0
608,4723510742188;	143,75;	0,0;	0,0
608,5986328125;	140,0;	0,0;	0,0
608,7249755859375;	147,5;	0,0;	0,0
608,8511352539062;	158,0;	0,0;	0,0
608,9774169921875;	147,25;	0,0;	0,0
609,1036376953125;	146,25;	0,0;	0,0
609,2297973632812;	150,5;	0,0;	0,0
609,3560180664062;	241,25;	0,0;	0,0
609,4822387695312;	242,0;	0,0;	0,0
609,6083374023438;	258,5;	0,0;	0,0
609,7344970703125;	255,0;	0,0;	0,0
609,8606567382812;	263,25;	0,0;	0,0
609,9866943359375;	260,5;	0,0;	0,0
610,11279296875;	255,0;	0,0;	0,0
610,2388916015625;	328,25;	0,0;	0,0
610,3649291992188;	558,0;	0,0;	0,0
610,490966796875;	389,0;	0,0;	0,0
610,6170043945312;	262,25;	0,0;	0,0
610,7430419921875;	275,0;	0,0;	0,0
610,8689575195312;	239,5;	0,0;	0,0
610,9949340820312;	287,0;	0,0;	0,0
611,1209106445312;	249,0;	0,0;	0,0
611,246826171875;	267,0;	0,0;	0,0
611,3727416992188;	254,5;	0,0;	0,0
611,4987182617188;	236,75;	0,0;	0,0
611,6245727539062;	251,0;	0,0;	0,0
611,7504272460938;	236,5;	0,0;	0,0
611,8762817382812;	248,0;	0,0;	0,0
612,0020751953125;	267,25;	0,0;	0,0
612,1279296875;	291,75;	0,0;	0,0
612,2537231445312;	472,5;	0,0;	0,0
612,3794555664062;	326,75;	0,0;	0,0
612,5052490234375;	278,5;	0,0;	0,0
612,6310424804688;	242,5;	0,0;	0,0
612,7567749023438;	249,75;	0,0;	0,0
612,8824462890625;	265,75;	0,0;	0,0
613,0081787109375;	258,75;	0,0;	0,0
613,1339111328125;	254,25;	0,0;	0,0
613,259521484375;	253,75;	0,0;	0,0
613,3851928710938;	264,75;	0,0;	0,0
613,5108642578125;	244,75;	0,0;	0,0
613,6364135742188;	251,25;	0,0;	0,0
613,7620849609375;	269,5;	0,0;	0,0
613,8876953125;	260,75;	0,0;	0,0
614,01318359375;	255,25;	0,0;	0,0
614,1387939453125;	255,25;	0,0;	0,0
614,2643432617188;	272,0;	0,0;	0,0
614,3897705078125;	247,75;	0,0;	0,0
614,5152587890625;	257,75;	0,0;	0,0
614,6408081054688;	242,0;	0,0;	0,0
614,7662963867188;	279,5;	0,0;	0,0
614,8917236328125;	264,5;	0,0;	0,0
615,0171508789062;	248,25;	0,0;	0,0
615,142578125;	266,25;	0,0;	0,0
615,2679443359375;	249,5;	0,0;	0,0
615,3933715820312;	258,75;	0,0;	0,0
615,5187377929688;	273,75;	0,0;	0,0
615,6441040039062;	258,5;	0,0;	0,0
615,7693481445312;	272,5;	0,0;	0,0
615,8947143554688;	280,25;	0,0;	0,0
616,0199584960938;	282,75;	0,0;	0,0
616,145263671875;	378,75;	0,0;	0,0
616,2705688476562;	654,25;	0,0;	0,0
616,3958129882812;	351,25;	0,0;	0,0
616,5210571289062;	284,5;	0,0;	0,0
616,6463012695312;	269,75;	0,0;	0,0
616,771484375;	274,75;	0,0;	0,0
616,8966064453125;	296,0;	0,0;	0,0
617,0217895507812;	319,0;	0,0;	0,0
617,14697265625;	281,25;	0,0;	0,0
617,2720947265625;	269,25;	0,0;	0,0
617,397216796875;	270,75;	0,0;	0,0
617,5222778320312;	271,5;	0,0;	0,0
617,6473388671875;	274,5;	0,0;	0,0
617,7723999023438;	254,5;	0,0;	0,0
617,8975219726562;	271,0;	0,0;	0,0
618,0225219726562;	261,75;	0,0;	0,0
618,1475219726562;	268,25;	0,0;	0,0
618,2725219726562;	252,25;	0,0;	0,0
618,3974609375;	260,75;	0,0;	0,0
618,5224609375;	262,5;	0,0;	0,0
618,6473999023438;	259,25;	0,0;	0,0
618,7723999023438;	253,5;	0,0;	0,0
618,897216796875;	245,5;	0,0;	0,0
619,0221557617188;	257,75;	0,0;	0,0
619,1470336914062;	258,25;	0,0;	0,0
619,2718505859375;	249,5;	0,0;	0,0
619,3966674804688;	248,25;	0,0;	0,0
619,5215454101562;	264,25;	0,0;	0,0
619,6463623046875;	237,25;	0,0;	0,0
619,7711791992188;	243,0;	0,0;	0,0
619,8959350585938;	241,25;	0,0;	0,0
620,0206298828125;	251,5;	0,0;	0,0
620,1454467773438;	257,0;	0,0;	0,0
620,2702026367188;	242,0;	0,0;	0,0
620,394775390625;	258,0;	0,0;	0,0
620,51953125;	252,5;	0,0;	0,0
620,6442260742188;	251,25;	0,0;	0,0
620,7688598632812;	255,5;	0,0;	0,0
620,8934936523438;	241,0;	0,0;	0,0
621,0181274414062;	242,5;	0,0;	0,0
621,1427612304688;	250,75;	0,0;	0,0
621,2672729492188;	261,0;	0,0;	0,0
621,3919067382812;	262,75;	0,0;	0,0
621,5164794921875;	253,5;	0,0;	0,0
621,6409301757812;	250,75;	0,0;	0,0
621,7655029296875;	240,25;	0,0;	0,0
621,8900756835938;	248,0;	0,0;	0,0
622,0144653320312;	242,75;	0,0;	0,0
622,1389770507812;	232,25;	0,0;	0,0
