21.0	12.75
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	154,75;	0,0;	0,0
607,4614868164062;	149,25;	0,0;	0,0
607,5878295898438;	148,0;	0,0;	0,0
607,7142944335938;	146,75;	0,0;	0,0
607,8406982421875;	145,0;	0,0;	0,0
607,967041015625;	140,25;	0,0;	0,0
608,0933837890625;	150,0;	0,0;	0,0
608,2197265625;	154,0;	0,0;	0,0
608,3460083007812;	146,75;	0,0;	0,0
608,4723510742188;	145,0;	0,0;	0,0
608,5986328125;	142,5;	0,0;	0,0
608,7249755859375;	153,0;	0,0;	0,0
608,8511352539062;	150,5;	0,0;	0,0
608,9774169921875;	150,25;	0,0;	0,0
609,1036376953125;	141,5;	0,0;	0,0
609,2297973632812;	140,25;	0,0;	0,0
609,3560180664062;	229,5;	0,0;	0,0
609,4822387695312;	233,25;	0,0;	0,0
609,6083374023438;	237,0;	0,0;	0,0
609,7344970703125;	246,25;	0,0;	0,0
609,8606567382812;	259,5;	0,0;	0,0
609,9866943359375;	257,25;	0,0;	0,0
610,11279296875;	270,0;	0,0;	0,0
610,2388916015625;	387,0;	0,0;	0,0
610,3649291992188;	853,5;	0,0;	0,0
610,490966796875;	553,75;	0,0;	0,0
610,6170043945312;	274,5;	0,0;	0,0
610,7430419921875;	265,5;	0,0;	0,0
610,8689575195312;	246,0;	0,0;	0,0
610,9949340820312;	264,75;	0,0;	0,0
611,1209106445312;	245,25;	0,0;	0,0
611,246826171875;	235,75;	0,0;	0,0
611,3727416992188;	255,25;	0,0;	0,0
611,4987182617188;	238,0;	0,0;	0,0
611,6245727539062;	235,25;	0,0;	0,0
611,7504272460938;	231,0;	0,0;	0,0
611,8762817382812;	241,25;	0,0;	0,0
612,0020751953125;	247,0;	0,0;	0,0
612,1279296875;	280,0;	0,0;	0,0
612,2537231445312;	388,0;	0,0;	0,0
612,3794555664062;	272,5;	0,0;	0,0
612,5052490234375;	254,0;	0,0;	0,0
612,6310424804688;	247,0;	0,0;	0,0
612,7567749023438;	228,5;	0,0;	0,0
