15.75	36.75
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	142,25;	0,0;	0,0
607,4614868164062;	159,5;	0,0;	0,0
607,5878295898438;	144,5;	0,0;	0,0
607,7142944335938;	148,75;	0,0;	0,0
607,8406982421875;	141,75;	0,0;	0,0
607,967041015625;	143,5;	0,0;	0,0
608,0933837890625;	142,25;	0,0;	0,0
608,2197265625;	155,75;	0,0;	0,0
608,3460083007812;	140,25;	0,0;	0,0
608,4723510742188;	142,75;	0,0;	0,0
608,5986328125;	152,25;	0,0;	0,0
608,7249755859375;	146,5;	0,0;	0,0
608,8511352539062;	148,25;	0,0;	0,0
608,9774169921875;	145,5;	0,0;	0,0
609,1036376953125;	141,25;	0,0;	0,0
609,2297973632812;	140,5;	0,0;	0,0
609,3560180664062;	242,75;	0,0;	0,0
609,4822387695312;	243,5;	0,0;	0,0
609,6083374023438;	249,75;	0,0;	0,0
609,7344970703125;	269,5;	0,0;	0,0
609,8606567382812;	261,75;	0,0;	0,0
609,9866943359375;	290,25;	0,0;	0,0
610,11279296875;	327,75;	0,0;	0,0
610,2388916015625;	559,75;	0,0;	0,0
610,3649291992188;	1659,75;	0,0;	0,0
610,490966796875;	1021,25;	0,0;	0,0
610,6170043945312;	325,5;	0,0;	0,0
610,7430419921875;	301,75;	0,0;	0,0
610,8689575195312;	257,25;	0,0;	0,0
610,9949340820312;	281,75;	0,0;	0,0
611,1209106445312;	251,0;	0,0;	0,0
611,246826171875;	253,25;	0,0;	0,0
611,3727416992188;	258,25;	0,0;	0,0
611,4987182617188;	241,0;	0,0;	0,0
611,6245727539062;	240,25;	0,0;	0,0
611,7504272460938;	237,0;	0,0;	0,0
611,8762817382812;	243,0;	0,0;	0,0
612,0020751953125;	250,0;	0,0;	0,0
612,1279296875;	263,5;	0,0;	0,0
612,2537231445312;	351,0;	0,0;	0,0
612,3794555664062;	278,5;	0,0;	0,0
612,5052490234375;	254,5;	0,0;	0,0
612,6310424804688;	239,5;	0,0;	0,0
612,7567749023438;	227,25;	0,0;	0,0
612,8824462890625;	238,5;	0,0;	0,0
613,0081787109375;	238,75;	0,0;	0,0
613,1339111328125;	229,25;	0,0;	0,0
613,259521484375;	231,25;	0,0;	0,0
613,3851928710938;	244,5;	0,0;	0,0
613,5108642578125;	232,75;	0,0;	0,0
613,6364135742188;	239,75;	0,0;	0,0
613,7620849609375;	243,5;	0,0;	0,0
613,8876953125;	238,0;	0,0;	0,0
614,01318359375;	239,75;	0,0;	0,0
