19.5	41.25
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	149,25;	0,0;	0,0
607,4614868164062;	153,75;	0,0;	0,0
607,5878295898438;	147,25;	0,0;	0,0
607,7142944335938;	159,5;	0,0;	0,0
607,8406982421875;	149,25;	0,0;	0,0
607,967041015625;	145,0;	0,0;	0,0
608,0933837890625;	142,75;	0,0;	0,0
608,2197265625;	156,5;	0,0;	0,0
608,3460083007812;	150,25;	0,0;	0,0
608,4723510742188;	143,5;	0,0;	0,0
608,5986328125;	146,5;	0,0;	0,0
608,7249755859375;	151,75;	0,0;	0,0
608,8511352539062;	150,25;	0,0;	0,0
608,9774169921875;	151,0;	0,0;	0,0
609,1036376953125;	152,25;	0,0;	0,0
609,2297973632812;	153,75;	0,0;	0,0
609,3560180664062;	262,25;	0,0;	0,0
609,4822387695312;	279,5;	0,0;	0,0
609,6083374023438;	310,0;	0,0;	0,0
609,7344970703125;	309,5;	0,0;	0,0
609,8606567382812;	328,25;	0,0;	0,0
609,9866943359375;	370,5;	0,0;	0,0
610,11279296875;	469,25;	0,0;	0,0
610,2388916015625;	869,0;	0,0;	0,0
610,3649291992188;	2654,25;	0,0;	0,0
610,490966796875;	1546,0;	0,0;	0,0
610,6170043945312;	449,25;	0,0;	0,0
610,7430419921875;	359,5;	0,0;	0,0
610,8689575195312;	317,5;	0,0;	0,0
610,9949340820312;	323,0;	0,0;	0,0
611,1209106445312;	296,5;	0,0;	0,0
611,246826171875;	298,5;	0,0;	0,0
611,3727416992188;	279,75;	0,0;	0,0
611,4987182617188;	275,25;	0,0;	0,0
611,6245727539062;	278,0;	0,0;	0,0
611,7504272460938;	265,25;	0,0;	0,0
611,8762817382812;	262,25;	0,0;	0,0
612,0020751953125;	275,25;	0,0;	0,0
612,1279296875;	316,5;	0,0;	0,0
612,2537231445312;	451,0;	0,0;	0,0
612,3794555664062;	318,0;	0,0;	0,0
612,5052490234375;	280,0;	0,0;	0,0
612,6310424804688;	261,0;	0,0;	0,0
612,7567749023438;	251,25;	0,0;	0,0
612,8824462890625;	266,0;	0,0;	0,0
613,0081787109375;	279,5;	0,0;	0,0
613,1339111328125;	277,0;	0,0;	0,0
613,259521484375;	261,5;	0,0;	0,0
613,3851928710938;	278,5;	0,0;	0,0
613,5108642578125;	254,0;	0,0;	0,0
613,6364135742188;	264,25;	0,0;	0,0
613,7620849609375;	270,5;	0,0;	0,0
613,8876953125;	263,75;	0,0;	0,0
614,01318359375;	276,75;	0,0;	0,0
614,1387939453125;	276,0;	0,0;	0,0
614,2643432617188;	298,0;	0,0;	0,0
614,3897705078125;	259,25;	0,0;	0,0
614,5152587890625;	281,25;	0,0;	0,0
614,6408081054688;	263,75;	0,0;	0,0
614,7662963867188;	286,5;	0,0;	0,0
614,8917236328125;	264,0;	0,0;	0,0
615,0171508789062;	256,5;	0,0;	0,0
615,142578125;	276,5;	0,0;	0,0
615,2679443359375;	280,25;	0,0;	0,0
615,3933715820312;	265,75;	0,0;	0,0
615,5187377929688;	280,5;	0,0;	0,0
615,6441040039062;	274,75;	0,0;	0,0
615,7693481445312;	292,25;	0,0;	0,0
615,8947143554688;	297,5;	0,0;	0,0
616,0199584960938;	288,25;	0,0;	0,0
616,145263671875;	388,75;	0,0;	0,0
616,2705688476562;	600,75;	0,0;	0,0
616,3958129882812;	355,0;	0,0;	0,0
616,5210571289062;	296,75;	0,0;	0,0
616,6463012695312;	296,0;	0,0;	0,0
616,771484375;	283,25;	0,0;	0,0
616,8966064453125;	311,25;	0,0;	0,0
617,0217895507812;	335,0;	0,0;	0,0
617,14697265625;	280,25;	0,0;	0,0
617,2720947265625;	293,5;	0,0;	0,0
617,397216796875;	273,0;	0,0;	0,0
617,5222778320312;	287,0;	0,0;	0,0
617,6473388671875;	285,5;	0,0;	0,0
617,7723999023438;	278,5;	0,0;	0,0
617,8975219726562;	286,75;	0,0;	0,0
618,0225219726562;	276,5;	0,0;	0,0
618,1475219726562;	259,5;	0,0;	0,0
618,2725219726562;	258,75;	0,0;	0,0
618,3974609375;	270,25;	0,0;	0,0
618,5224609375;	281,25;	0,0;	0,0
618,6473999023438;	277,75;	0,0;	0,0
618,7723999023438;	280,25;	0,0;	0,0
618,897216796875;	268,25;	0,0;	0,0
619,0221557617188;	266,5;	0,0;	0,0
619,1470336914062;	285,5;	0,0;	0,0
619,2718505859375;	269,75;	0,0;	0,0
619,3966674804688;	246,0;	0,0;	0,0
619,5215454101562;	273,5;	0,0;	0,0
619,6463623046875;	254,25;	0,0;	0,0
619,7711791992188;	257,75;	0,0;	0,0
619,8959350585938;	260,75;	0,0;	0,0
620,0206298828125;	259,0;	0,0;	0,0
620,1454467773438;	270,75;	0,0;	0,0
620,2702026367188;	271,5;	0,0;	0,0
620,394775390625;	252,75;	0,0;	0,0
620,51953125;	263,25;	0,0;	0,0
620,6442260742188;	255,0;	0,0;	0,0
620,7688598632812;	275,75;	0,0;	0,0
620,8934936523438;	264,75;	0,0;	0,0
621,0181274414062;	264,75;	0,0;	0,0
621,1427612304688;	258,0;	0,0;	0,0
621,2672729492188;	271,0;	0,0;	0,0
621,3919067382812;	288,75;	0,0;	0,0
621,5164794921875;	255,75;	0,0;	0,0
621,6409301757812;	265,75;	0,0;	0,0
621,7655029296875;	254,5;	0,0;	0,0
621,8900756835938;	243,0;	0,0;	0,0
622,0144653320312;	252,25;	0,0;	0,0
622,1389770507812;	248,25;	0,0;	0,0
622,2634887695312;	242,75;	0,0;	0,0
622,3878173828125;	253,25;	0,0;	0,0
622,5122680664062;	265,0;	0,0;	0,0
622,6366577148438;	260,5;	0,0;	0,0
622,7611083984375;	238,5;	0,0;	0,0
622,8854370117188;	252,75;	0,0;	0,0
623,009765625;	273,5;	0,0;	0,0
623,1341552734375;	253,0;	0,0;	0,0
623,2584228515625;	263,25;	0,0;	0,0
623,3827514648438;	258,25;	0,0;	0,0
623,507080078125;	251,75;	0,0;	0,0
623,6312866210938;	277,25;	0,0;	0,0
623,7555541992188;	239,0;	0,0;	0,0
623,8797607421875;	262,0;	0,0;	0,0
624,0039672851562;	258,0;	0,0;	0,0
624,128173828125;	261,75;	0,0;	0,0
624,2523803710938;	258,0;	0,0;	0,0
624,37646484375;	256,0;	0,0;	0,0
624,5006713867188;	267,5;	0,0;	0,0
624,624755859375;	265,0;	0,0;	0,0
624,7489624023438;	246,25;	0,0;	0,0
624,8729858398438;	259,0;	0,0;	0,0
624,9970703125;	271,0;	0,0;	0,0
625,1211547851562;	261,75;	0,0;	0,0
625,2451782226562;	273,5;	0,0;	0,0
625,3692016601562;	253,5;	0,0;	0,0
625,4932861328125;	253,0;	0,0;	0,0
625,6171875;	263,0;	0,0;	0,0
625,7412109375;	261,75;	0,0;	0,0
625,8651733398438;	283,25;	0,0;	0,0
625,9890747070312;	263,25;	0,0;	0,0
626,113037109375;	260,0;	0,0;	0,0
626,2369384765625;	241,0;	0,0;	0,0
626,3607788085938;	245,75;	0,0;	0,0
626,4846801757812;	236,5;	0,0;	0,0
626,6085815429688;	252,0;	0,0;	0,0
626,732421875;	245,5;	0,0;	0,0
626,8561401367188;	263,0;	0,0;	0,0
626,9800415039062;	247,75;	0,0;	0,0
627,1038208007812;	256,75;	0,0;	0,0
627,2275390625;	260,5;	0,0;	0,0
627,351318359375;	247,75;	0,0;	0,0
627,4750366210938;	243,5;	0,0;	0,0
627,5986938476562;	238,25;	0,0;	0,0
627,7224731445312;	244,75;	0,0;	0,0
627,84619140625;	247,25;	0,0;	0,0
627,9697875976562;	233,25;	0,0;	0,0
628,093505859375;	251,25;	0,0;	0,0
628,2171020507812;	239,0;	0,0;	0,0
628,3406982421875;	244,25;	0,0;	0,0
628,46435546875;	255,5;	0,0;	0,0
628,5879516601562;	255,5;	0,0;	0,0
628,7114868164062;	239,5;	0,0;	0,0
628,8349609375;	240,0;	0,0;	0,0
628,9585571289062;	232,5;	0,0;	0,0
629,0820922851562;	251,25;	0,0;	0,0
629,20556640625;	248,25;	0,0;	0,0
629,3290405273438;	231,75;	0,0;	0,0
629,4525146484375;	246,5;	0,0;	0,0
629,575927734375;	240,25;	0,0;	0,0
629,6994018554688;	242,0;	0,0;	0,0
629,8228149414062;	239,5;	0,0;	0,0
629,9461669921875;	250,25;	0,0;	0,0
630,0695190429688;	240,75;	0,0;	0,0
630,19287109375;	247,5;	0,0;	0,0
630,316162109375;	246,0;	0,0;	0,0
630,4395751953125;	234,75;	0,0;	0,0
630,5629272460938;	254,0;	0,0;	0,0
630,6862182617188;	248,75;	0,0;	0,0
630,8094482421875;	236,25;	0,0;	0,0
630,9326782226562;	252,5;	0,0;	0,0
631,0559692382812;	244,75;	0,0;	0,0
631,1791381835938;	245,0;	0,0;	0,0
631,3023681640625;	245,25;	0,0;	0,0
631,425537109375;	252,0;	0,0;	0,0
631,5486450195312;	237,25;	0,0;	0,0
631,6718139648438;	241,75;	0,0;	0,0
631,7949829101562;	243,0;	0,0;	0,0
631,9180908203125;	239,5;	0,0;	0,0
632,0411987304688;	234,5;	0,0;	0,0
632,164306640625;	235,0;	0,0;	0,0
632,2872924804688;	235,75;	0,0;	0,0
632,410400390625;	233,0;	0,0;	0,0
632,533447265625;	242,75;	0,0;	0,0
632,656494140625;	244,75;	0,0;	0,0
632,7794189453125;	227,0;	0,0;	0,0
632,9024047851562;	238,75;	0,0;	0,0
633,025390625;	232,5;	0,0;	0,0
633,1483154296875;	223,75;	0,0;	0,0
633,2713012695312;	245,25;	0,0;	0,0
633,3942260742188;	247,0;	0,0;	0,0
633,5170288085938;	245,25;	0,0;	0,0
633,639892578125;	253,25;	0,0;	0,0
633,7628173828125;	242,75;	0,0;	0,0
633,8856201171875;	250,5;	0,0;	0,0
634,0084838867188;	251,0;	0,0;	0,0
634,1312866210938;	258,0;	0,0;	0,0
634,2540283203125;	282,5;	0,0;	0,0
634,3768310546875;	246,25;	0,0;	0,0
634,4995727539062;	272,75;	0,0;	0,0
634,622314453125;	324,0;	0,0;	0,0
634,7449951171875;	318,5;	0,0;	0,0
634,8677368164062;	271,75;	0,0;	0,0
634,9904174804688;	258,5;	0,0;	0,0
635,1130981445312;	243,25;	0,0;	0,0
635,2357177734375;	255,0;	0,0;	0,0
635,3583984375;	249,75;	0,0;	0,0
635,48095703125;	251,75;	0,0;	0,0
635,6035766601562;	245,75;	0,0;	0,0
635,7261962890625;	237,5;	0,0;	0,0
635,8486938476562;	251,0;	0,0;	0,0
635,9712524414062;	224,25;	0,0;	0,0
636,0938110351562;	243,25;	0,0;	0,0
636,21630859375;	265,25;	0,0;	0,0
636,3388061523438;	254,75;	0,0;	0,0
636,4613037109375;	239,0;	0,0;	0,0
636,583740234375;	252,0;	0,0;	0,0
636,7061767578125;	240,5;	0,0;	0,0
636,82861328125;	265,0;	0,0;	0,0
636,9510498046875;	244,75;	0,0;	0,0
637,0734252929688;	256,5;	0,0;	0,0
637,1957397460938;	279,0;	0,0;	0,0
637,3181762695312;	256,25;	0,0;	0,0
637,4404296875;	241,0;	0,0;	0,0
637,5628051757812;	255,75;	0,0;	0,0
637,6851196289062;	239,25;	0,0;	0,0
637,807373046875;	252,0;	0,0;	0,0
637,9296264648438;	245,0;	0,0;	0,0
638,0518798828125;	245,5;	0,0;	0,0
638,1741333007812;	249,25;	0,0;	0,0
638,2963256835938;	246,0;	0,0;	0,0
638,4185791015625;	241,5;	0,0;	0,0
638,5407104492188;	227,0;	0,0;	0,0
638,662841796875;	230,25;	0,0;	0,0
638,7850341796875;	243,0;	0,0;	0,0
638,9071655273438;	238,5;	0,0;	0,0
639,0292358398438;	243,25;	0,0;	0,0
639,1513671875;	233,5;	0,0;	0,0
639,2734375;	247,5;	0,0;	0,0
639,3954467773438;	236,5;	0,0;	0,0
639,517578125;	252,75;	0,0;	0,0
639,6395874023438;	232,0;	0,0;	0,0
639,7615356445312;	235,75;	0,0;	0,0
639,883544921875;	242,75;	0,0;	0,0
640,0055541992188;	240,25;	0,0;	0,0
640,12744140625;	244,25;	0,0;	0,0
640,2493896484375;	228,0;	0,0;	0,0
640,371337890625;	250,75;	0,0;	0,0
640,4932250976562;	241,75;	0,0;	0,0
640,6151733398438;	238,0;	0,0;	0,0
640,7369995117188;	238,0;	0,0;	0,0
640,85888671875;	230,5;	0,0;	0,0
640,9806518554688;	235,75;	0,0;	0,0
641,1024780273438;	246,75;	0,0;	0,0
641,2243041992188;	235,5;	0,0;	0,0
641,3460693359375;	256,5;	0,0;	0,0
641,4678344726562;	219,25;	0,0;	0,0
641,589599609375;	245,25;	0,0;	0,0
641,7112426757812;	245,75;	0,0;	0,0
641,8330078125;	230,25;	0,0;	0,0
641,9547119140625;	230,75;	0,0;	0,0
642,0763549804688;	227,0;	0,0;	0,0
642,197998046875;	234,5;	0,0;	0,0
642,3197021484375;	245,25;	0,0;	0,0
642,4412841796875;	231,5;	0,0;	0,0
642,5628662109375;	236,75;	0,0;	0,0
642,6845092773438;	232,5;	0,0;	0,0
642,8060913085938;	230,25;	0,0;	0,0
642,9276123046875;	245,0;	0,0;	0,0
643,0491943359375;	248,25;	0,0;	0,0
643,1707153320312;	238,25;	0,0;	0,0
643,2921142578125;	226,75;	0,0;	0,0
643,4136352539062;	228,0;	0,0;	0,0
643,5350952148438;	240,5;	0,0;	0,0
643,6565551757812;	239,0;	0,0;	0,0
643,7780151367188;	265,0;	0,0;	0,0
643,8994140625;	434,75;	0,0;	0,0
644,020751953125;	384,5;	0,0;	0,0
644,1421508789062;	246,25;	0,0;	0,0
644,2635498046875;	242,0;	0,0;	0,0
644,3848876953125;	230,5;	0,0;	0,0
644,5061645507812;	250,75;	0,0;	0,0
644,6275024414062;	229,25;	0,0;	0,0
644,748779296875;	231,0;	0,0;	0,0
644,8700561523438;	238,0;	0,0;	0,0
644,9913330078125;	279,25;	0,0;	0,0
645,112548828125;	268,25;	0,0;	0,0
645,2337646484375;	252,5;	0,0;	0,0
645,3549194335938;	251,0;	0,0;	0,0
645,4761962890625;	241,0;	0,0;	0,0
645,5972900390625;	267,0;	0,0;	0,0
645,7184448242188;	267,0;	0,0;	0,0
645,839599609375;	251,75;	0,0;	0,0
645,960693359375;	259,0;	0,0;	0,0
646,081787109375;	263,5;	0,0;	0,0
646,202880859375;	314,0;	0,0;	0,0
646,3238525390625;	424,0;	0,0;	0,0
646,4449462890625;	277,75;	0,0;	0,0
646,5659790039062;	260,5;	0,0;	0,0
646,6870727539062;	257,25;	0,0;	0,0
646,8079833984375;	270,5;	0,0;	0,0
