36.0	18.75
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	148,25;	0,0;	0,0
607,4614868164062;	153,75;	0,0;	0,0
607,5878295898438;	149,0;	0,0;	0,0
607,7142944335938;	156,5;	0,0;	0,0
607,8406982421875;	143,25;	0,0;	0,0
607,967041015625;	147,0;	0,0;	0,0
608,0933837890625;	147,75;	0,0;	0,0
608,2197265625;	150,0;	0,0;	0,0
608,3460083007812;	144,75;	0,0;	0,0
608,4723510742188;	145,5;	0,0;	0,0
608,5986328125;	148,5;	0,0;	0,0
608,7249755859375;	145,75;	0,0;	0,0
608,8511352539062;	155,0;	0,0;	0,0
608,9774169921875;	148,25;	0,0;	0,0
609,1036376953125;	148,25;	0,0;	0,0
609,2297973632812;	151,25;	0,0;	0,0
609,3560180664062;	249,25;	0,0;	0,0
609,4822387695312;	262,0;	0,0;	0,0
609,6083374023438;	282,5;	0,0;	0,0
609,7344970703125;	290,5;	0,0;	0,0
609,8606567382812;	293,0;	0,0;	0,0
609,9866943359375;	308,5;	0,0;	0,0
610,11279296875;	337,5;	0,0;	0,0
610,2388916015625;	561,25;	0,0;	0,0
610,3649291992188;	1499,25;	0,0;	0,0
610,490966796875;	892,0;	0,0;	0,0
610,6170043945312;	338,25;	0,0;	0,0
610,7430419921875;	313,75;	0,0;	0,0
610,8689575195312;	283,5;	0,0;	0,0
610,9949340820312;	300,5;	0,0;	0,0
611,1209106445312;	283,0;	0,0;	0,0
611,246826171875;	287,5;	0,0;	0,0
611,3727416992188;	282,25;	0,0;	0,0
611,4987182617188;	278,75;	0,0;	0,0
611,6245727539062;	263,25;	0,0;	0,0
611,7504272460938;	259,0;	0,0;	0,0
611,8762817382812;	268,25;	0,0;	0,0
612,0020751953125;	274,5;	0,0;	0,0
612,1279296875;	323,75;	0,0;	0,0
612,2537231445312;	512,5;	0,0;	0,0
612,3794555664062;	337,0;	0,0;	0,0
612,5052490234375;	281,0;	0,0;	0,0
612,6310424804688;	272,75;	0,0;	0,0
612,7567749023438;	253,75;	0,0;	0,0
612,8824462890625;	275,75;	0,0;	0,0
613,0081787109375;	272,5;	0,0;	0,0
613,1339111328125;	266,0;	0,0;	0,0
613,259521484375;	260,25;	0,0;	0,0
613,3851928710938;	269,75;	0,0;	0,0
613,5108642578125;	266,25;	0,0;	0,0
613,6364135742188;	271,25;	0,0;	0,0
613,7620849609375;	279,0;	0,0;	0,0
613,8876953125;	268,0;	0,0;	0,0
614,01318359375;	264,75;	0,0;	0,0
614,1387939453125;	274,0;	0,0;	0,0
614,2643432617188;	298,0;	0,0;	0,0
614,3897705078125;	263,0;	0,0;	0,0
614,5152587890625;	270,5;	0,0;	0,0
614,6408081054688;	266,25;	0,0;	0,0
614,7662963867188;	271,0;	0,0;	0,0
614,8917236328125;	276,0;	0,0;	0,0
615,0171508789062;	268,0;	0,0;	0,0
615,142578125;	269,25;	0,0;	0,0
615,2679443359375;	279,0;	0,0;	0,0
615,3933715820312;	280,5;	0,0;	0,0
615,5187377929688;	284,0;	0,0;	0,0
615,6441040039062;	278,0;	0,0;	0,0
615,7693481445312;	286,5;	0,0;	0,0
615,8947143554688;	280,0;	0,0;	0,0
616,0199584960938;	300,25;	0,0;	0,0
616,145263671875;	426,5;	0,0;	0,0
616,2705688476562;	742,5;	0,0;	0,0
616,3958129882812;	395,75;	0,0;	0,0
616,5210571289062;	309,0;	0,0;	0,0
616,6463012695312;	290,5;	0,0;	0,0
616,771484375;	290,25;	0,0;	0,0
616,8966064453125;	320,75;	0,0;	0,0
617,0217895507812;	355,75;	0,0;	0,0
617,14697265625;	294,0;	0,0;	0,0
617,2720947265625;	270,25;	0,0;	0,0
617,397216796875;	296,5;	0,0;	0,0
617,5222778320312;	270,75;	0,0;	0,0
617,6473388671875;	279,25;	0,0;	0,0
617,7723999023438;	273,5;	0,0;	0,0
