45.0	20.25
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	151,25;	0,0;	0,0
607,4614868164062;	163,5;	0,0;	0,0
607,5878295898438;	142,5;	0,0;	0,0
607,7142944335938;	147,75;	0,0;	0,0
607,8406982421875;	150,5;	0,0;	0,0
607,967041015625;	144,0;	0,0;	0,0
608,0933837890625;	142,75;	0,0;	0,0
608,2197265625;	160,75;	0,0;	0,0
608,3460083007812;	149,25;	0,0;	0,0
608,4723510742188;	152,75;	0,0;	0,0
608,5986328125;	146,0;	0,0;	0,0
608,7249755859375;	152,25;	0,0;	0,0
608,8511352539062;	151,25;	0,0;	0,0
608,9774169921875;	152,5;	0,0;	0,0
609,1036376953125;	145,25;	0,0;	0,0
609,2297973632812;	151,0;	0,0;	0,0
609,3560180664062;	233,5;	0,0;	0,0
609,4822387695312;	237,0;	0,0;	0,0
609,6083374023438;	242,75;	0,0;	0,0
609,7344970703125;	258,0;	0,0;	0,0
609,8606567382812;	261,5;	0,0;	0,0
609,9866943359375;	270,75;	0,0;	0,0
610,11279296875;	285,5;	0,0;	0,0
610,2388916015625;	401,75;	0,0;	0,0
610,3649291992188;	946,0;	0,0;	0,0
610,490966796875;	611,25;	0,0;	0,0
610,6170043945312;	274,75;	0,0;	0,0
610,7430419921875;	272,25;	0,0;	0,0
610,8689575195312;	254,75;	0,0;	0,0
610,9949340820312;	273,5;	0,0;	0,0
611,1209106445312;	238,5;	0,0;	0,0
611,246826171875;	240,75;	0,0;	0,0
611,3727416992188;	230,0;	0,0;	0,0
611,4987182617188;	223,75;	0,0;	0,0
611,6245727539062;	237,25;	0,0;	0,0
611,7504272460938;	242,25;	0,0;	0,0
611,8762817382812;	228,75;	0,0;	0,0
612,0020751953125;	238,5;	0,0;	0,0
612,1279296875;	276,75;	0,0;	0,0
612,2537231445312;	361,5;	0,0;	0,0
612,3794555664062;	279,0;	0,0;	0,0
612,5052490234375;	253,25;	0,0;	0,0
612,6310424804688;	240,25;	0,0;	0,0
612,7567749023438;	226,75;	0,0;	0,0
612,8824462890625;	244,25;	0,0;	0,0
613,0081787109375;	246,5;	0,0;	0,0
613,1339111328125;	245,0;	0,0;	0,0
613,259521484375;	240,0;	0,0;	0,0
613,3851928710938;	236,75;	0,0;	0,0
613,5108642578125;	245,5;	0,0;	0,0
613,6364135742188;	243,25;	0,0;	0,0
613,7620849609375;	248,5;	0,0;	0,0
613,8876953125;	231,0;	0,0;	0,0
614,01318359375;	236,75;	0,0;	0,0
614,1387939453125;	230,25;	0,0;	0,0
614,2643432617188;	253,5;	0,0;	0,0
