34.5	43.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	136,0;	0,0;	0,0
607,4614868164062;	149,75;	0,0;	0,0
607,5878295898438;	152,25;	0,0;	0,0
607,7142944335938;	154,25;	0,0;	0,0
607,8406982421875;	146,75;	0,0;	0,0
607,967041015625;	145,5;	0,0;	0,0
608,0933837890625;	152,25;	0,0;	0,0
608,2197265625;	157,5;	0,0;	0,0
608,3460083007812;	148,0;	0,0;	0,0
608,4723510742188;	161,25;	0,0;	0,0
608,5986328125;	147,25;	0,0;	0,0
608,7249755859375;	147,5;	0,0;	0,0
608,8511352539062;	156,75;	0,0;	0,0
608,9774169921875;	150,5;	0,0;	0,0
609,1036376953125;	145,5;	0,0;	0,0
609,2297973632812;	155,0;	0,0;	0,0
609,3560180664062;	259,75;	0,0;	0,0
609,4822387695312;	259,75;	0,0;	0,0
609,6083374023438;	282,25;	0,0;	0,0
609,7344970703125;	301,75;	0,0;	0,0
609,8606567382812;	297,0;	0,0;	0,0
609,9866943359375;	336,75;	0,0;	0,0
610,11279296875;	382,25;	0,0;	0,0
610,2388916015625;	669,5;	0,0;	0,0
610,3649291992188;	1894,25;	0,0;	0,0
610,490966796875;	1157,5;	0,0;	0,0
610,6170043945312;	365,75;	0,0;	0,0
610,7430419921875;	323,0;	0,0;	0,0
610,8689575195312;	278,75;	0,0;	0,0
610,9949340820312;	299,5;	0,0;	0,0
611,1209106445312;	268,25;	0,0;	0,0
611,246826171875;	279,75;	0,0;	0,0
611,3727416992188;	267,0;	0,0;	0,0
611,4987182617188;	257,25;	0,0;	0,0
611,6245727539062;	259,25;	0,0;	0,0
611,7504272460938;	260,0;	0,0;	0,0
611,8762817382812;	256,75;	0,0;	0,0
612,0020751953125;	278,0;	0,0;	0,0
612,1279296875;	320,5;	0,0;	0,0
612,2537231445312;	478,5;	0,0;	0,0
612,3794555664062;	324,5;	0,0;	0,0
612,5052490234375;	270,75;	0,0;	0,0
612,6310424804688;	261,0;	0,0;	0,0
612,7567749023438;	257,25;	0,0;	0,0
612,8824462890625;	277,25;	0,0;	0,0
613,0081787109375;	270,25;	0,0;	0,0
613,1339111328125;	270,25;	0,0;	0,0
613,259521484375;	257,0;	0,0;	0,0
613,3851928710938;	271,5;	0,0;	0,0
613,5108642578125;	259,5;	0,0;	0,0
613,6364135742188;	258,5;	0,0;	0,0
613,7620849609375;	274,5;	0,0;	0,0
613,8876953125;	262,5;	0,0;	0,0
614,01318359375;	260,75;	0,0;	0,0
614,1387939453125;	272,25;	0,0;	0,0
614,2643432617188;	300,75;	0,0;	0,0
614,3897705078125;	265,25;	0,0;	0,0
614,5152587890625;	274,75;	0,0;	0,0
614,6408081054688;	259,25;	0,0;	0,0
614,7662963867188;	260,5;	0,0;	0,0
614,8917236328125;	268,25;	0,0;	0,0
615,0171508789062;	266,5;	0,0;	0,0
615,142578125;	261,25;	0,0;	0,0
615,2679443359375;	255,5;	0,0;	0,0
615,3933715820312;	261,25;	0,0;	0,0
615,5187377929688;	287,0;	0,0;	0,0
615,6441040039062;	274,25;	0,0;	0,0
615,7693481445312;	279,5;	0,0;	0,0
615,8947143554688;	284,75;	0,0;	0,0
616,0199584960938;	298,5;	0,0;	0,0
616,145263671875;	388,0;	0,0;	0,0
616,2705688476562;	660,0;	0,0;	0,0
616,3958129882812;	363,25;	0,0;	0,0
616,5210571289062;	289,75;	0,0;	0,0
616,6463012695312;	278,75;	0,0;	0,0
616,771484375;	295,5;	0,0;	0,0
616,8966064453125;	317,0;	0,0;	0,0
617,0217895507812;	339,5;	0,0;	0,0
617,14697265625;	288,25;	0,0;	0,0
617,2720947265625;	272,25;	0,0;	0,0
617,397216796875;	292,25;	0,0;	0,0
617,5222778320312;	284,0;	0,0;	0,0
617,6473388671875;	279,25;	0,0;	0,0
617,7723999023438;	267,0;	0,0;	0,0
617,8975219726562;	281,0;	0,0;	0,0
618,0225219726562;	282,0;	0,0;	0,0
618,1475219726562;	266,0;	0,0;	0,0
618,2725219726562;	268,5;	0,0;	0,0
618,3974609375;	280,0;	0,0;	0,0
618,5224609375;	279,0;	0,0;	0,0
618,6473999023438;	267,0;	0,0;	0,0
618,7723999023438;	276,0;	0,0;	0,0
618,897216796875;	254,25;	0,0;	0,0
619,0221557617188;	272,0;	0,0;	0,0
619,1470336914062;	273,0;	0,0;	0,0
619,2718505859375;	261,0;	0,0;	0,0
619,3966674804688;	248,0;	0,0;	0,0
619,5215454101562;	275,0;	0,0;	0,0
619,6463623046875;	246,0;	0,0;	0,0
619,7711791992188;	248,5;	0,0;	0,0
619,8959350585938;	268,0;	0,0;	0,0
620,0206298828125;	268,5;	0,0;	0,0
620,1454467773438;	260,0;	0,0;	0,0
620,2702026367188;	256,5;	0,0;	0,0
