19.5	19.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	146,0;	0,0;	0,0
607,4614868164062;	156,0;	0,0;	0,0
607,5878295898438;	150,0;	0,0;	0,0
607,7142944335938;	148,75;	0,0;	0,0
607,8406982421875;	147,5;	0,0;	0,0
607,967041015625;	145,5;	0,0;	0,0
608,0933837890625;	145,5;	0,0;	0,0
608,2197265625;	157,0;	0,0;	0,0
608,3460083007812;	150,75;	0,0;	0,0
608,4723510742188;	153,25;	0,0;	0,0
608,5986328125;	144,75;	0,0;	0,0
608,7249755859375;	151,25;	0,0;	0,0
608,8511352539062;	156,5;	0,0;	0,0
608,9774169921875;	149,75;	0,0;	0,0
609,1036376953125;	158,5;	0,0;	0,0
609,2297973632812;	145,25;	0,0;	0,0
609,3560180664062;	239,5;	0,0;	0,0
609,4822387695312;	235,75;	0,0;	0,0
609,6083374023438;	244,25;	0,0;	0,0
609,7344970703125;	250,75;	0,0;	0,0
609,8606567382812;	253,0;	0,0;	0,0
609,9866943359375;	247,75;	0,0;	0,0
610,11279296875;	258,75;	0,0;	0,0
610,2388916015625;	326,0;	0,0;	0,0
610,3649291992188;	474,75;	0,0;	0,0
610,490966796875;	338,0;	0,0;	0,0
610,6170043945312;	255,25;	0,0;	0,0
610,7430419921875;	253,25;	0,0;	0,0
610,8689575195312;	247,5;	0,0;	0,0
610,9949340820312;	263,25;	0,0;	0,0
611,1209106445312;	237,5;	0,0;	0,0
611,246826171875;	243,0;	0,0;	0,0
611,3727416992188;	230,0;	0,0;	0,0
611,4987182617188;	242,25;	0,0;	0,0
611,6245727539062;	246,0;	0,0;	0,0
611,7504272460938;	249,75;	0,0;	0,0
611,8762817382812;	251,0;	0,0;	0,0
612,0020751953125;	259,0;	0,0;	0,0
612,1279296875;	295,5;	0,0;	0,0
612,2537231445312;	447,5;	0,0;	0,0
612,3794555664062;	299,75;	0,0;	0,0
612,5052490234375;	259,5;	0,0;	0,0
612,6310424804688;	240,0;	0,0;	0,0
612,7567749023438;	237,25;	0,0;	0,0
612,8824462890625;	255,75;	0,0;	0,0
613,0081787109375;	255,75;	0,0;	0,0
613,1339111328125;	254,75;	0,0;	0,0
613,259521484375;	245,0;	0,0;	0,0
613,3851928710938;	249,5;	0,0;	0,0
613,5108642578125;	244,25;	0,0;	0,0
613,6364135742188;	242,25;	0,0;	0,0
613,7620849609375;	255,75;	0,0;	0,0
613,8876953125;	253,0;	0,0;	0,0
614,01318359375;	248,25;	0,0;	0,0
614,1387939453125;	246,5;	0,0;	0,0
614,2643432617188;	273,0;	0,0;	0,0
614,3897705078125;	243,75;	0,0;	0,0
614,5152587890625;	255,0;	0,0;	0,0
614,6408081054688;	249,5;	0,0;	0,0
614,7662963867188;	250,75;	0,0;	0,0
614,8917236328125;	243,5;	0,0;	0,0
615,0171508789062;	248,25;	0,0;	0,0
615,142578125;	243,0;	0,0;	0,0
615,2679443359375;	248,75;	0,0;	0,0
615,3933715820312;	246,25;	0,0;	0,0
615,5187377929688;	253,25;	0,0;	0,0
615,6441040039062;	257,5;	0,0;	0,0
615,7693481445312;	270,0;	0,0;	0,0
615,8947143554688;	274,25;	0,0;	0,0
616,0199584960938;	261,0;	0,0;	0,0
616,145263671875;	363,5;	0,0;	0,0
616,2705688476562;	611,25;	0,0;	0,0
616,3958129882812;	355,5;	0,0;	0,0
616,5210571289062;	262,5;	0,0;	0,0
616,6463012695312;	263,5;	0,0;	0,0
616,771484375;	269,75;	0,0;	0,0
616,8966064453125;	280,5;	0,0;	0,0
617,0217895507812;	290,75;	0,0;	0,0
617,14697265625;	258,25;	0,0;	0,0
617,2720947265625;	250,25;	0,0;	0,0
617,397216796875;	266,25;	0,0;	0,0
617,5222778320312;	255,75;	0,0;	0,0
617,6473388671875;	266,25;	0,0;	0,0
617,7723999023438;	257,0;	0,0;	0,0
617,8975219726562;	258,0;	0,0;	0,0
618,0225219726562;	255,5;	0,0;	0,0
618,1475219726562;	247,75;	0,0;	0,0
618,2725219726562;	243,5;	0,0;	0,0
618,3974609375;	245,5;	0,0;	0,0
618,5224609375;	257,5;	0,0;	0,0
618,6473999023438;	234,75;	0,0;	0,0
618,7723999023438;	253,25;	0,0;	0,0
618,897216796875;	248,25;	0,0;	0,0
619,0221557617188;	254,75;	0,0;	0,0
619,1470336914062;	251,25;	0,0;	0,0
619,2718505859375;	242,75;	0,0;	0,0
619,3966674804688;	225,0;	0,0;	0,0
619,5215454101562;	243,5;	0,0;	0,0
619,6463623046875;	240,75;	0,0;	0,0
619,7711791992188;	224,5;	0,0;	0,0
619,8959350585938;	235,25;	0,0;	0,0
620,0206298828125;	248,0;	0,0;	0,0
620,1454467773438;	254,25;	0,0;	0,0
620,2702026367188;	245,25;	0,0;	0,0
620,394775390625;	243,75;	0,0;	0,0
620,51953125;	242,5;	0,0;	0,0
620,6442260742188;	234,0;	0,0;	0,0
620,7688598632812;	245,0;	0,0;	0,0
620,8934936523438;	244,0;	0,0;	0,0
621,0181274414062;	230,25;	0,0;	0,0
621,1427612304688;	237,75;	0,0;	0,0
621,2672729492188;	238,5;	0,0;	0,0
621,3919067382812;	265,5;	0,0;	0,0
621,5164794921875;	235,0;	0,0;	0,0
621,6409301757812;	237,0;	0,0;	0,0
621,7655029296875;	226,75;	0,0;	0,0
621,8900756835938;	230,75;	0,0;	0,0
622,0144653320312;	237,25;	0,0;	0,0
622,1389770507812;	230,0;	0,0;	0,0
622,2634887695312;	237,0;	0,0;	0,0
