42.0	39.75
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	150,25;	0,0;	0,0
607,4614868164062;	154,75;	0,0;	0,0
607,5878295898438;	144,5;	0,0;	0,0
607,7142944335938;	148,5;	0,0;	0,0
607,8406982421875;	149,0;	0,0;	0,0
607,967041015625;	142,5;	0,0;	0,0
608,0933837890625;	145,25;	0,0;	0,0
608,2197265625;	148,25;	0,0;	0,0
608,3460083007812;	149,75;	0,0;	0,0
608,4723510742188;	155,5;	0,0;	0,0
608,5986328125;	151,75;	0,0;	0,0
608,7249755859375;	158,5;	0,0;	0,0
608,8511352539062;	153,5;	0,0;	0,0
608,9774169921875;	153,75;	0,0;	0,0
609,1036376953125;	148,75;	0,0;	0,0
609,2297973632812;	150,25;	0,0;	0,0
609,3560180664062;	282,25;	0,0;	0,0
609,4822387695312;	302,75;	0,0;	0,0
609,6083374023438;	330,25;	0,0;	0,0
609,7344970703125;	358,25;	0,0;	0,0
609,8606567382812;	387,0;	0,0;	0,0
609,9866943359375;	471,0;	0,0;	0,0
610,11279296875;	612,75;	0,0;	0,0
610,2388916015625;	1366,0;	0,0;	0,0
610,3649291992188;	4158,0;	0,0;	0,0
610,490966796875;	2392,0;	0,0;	0,0
610,6170043945312;	617,0;	0,0;	0,0
610,7430419921875;	418,75;	0,0;	0,0
610,8689575195312;	334,0;	0,0;	0,0
610,9949340820312;	361,5;	0,0;	0,0
611,1209106445312;	318,5;	0,0;	0,0
611,246826171875;	301,0;	0,0;	0,0
611,3727416992188;	297,25;	0,0;	0,0
611,4987182617188;	275,5;	0,0;	0,0
611,6245727539062;	272,75;	0,0;	0,0
611,7504272460938;	282,75;	0,0;	0,0
611,8762817382812;	282,5;	0,0;	0,0
612,0020751953125;	285,0;	0,0;	0,0
612,1279296875;	353,25;	0,0;	0,0
612,2537231445312;	517,75;	0,0;	0,0
612,3794555664062;	346,75;	0,0;	0,0
612,5052490234375;	288,75;	0,0;	0,0
612,6310424804688;	269,0;	0,0;	0,0
612,7567749023438;	253,5;	0,0;	0,0
612,8824462890625;	283,25;	0,0;	0,0
613,0081787109375;	268,75;	0,0;	0,0
613,1339111328125;	270,75;	0,0;	0,0
613,259521484375;	259,0;	0,0;	0,0
613,3851928710938;	269,75;	0,0;	0,0
613,5108642578125;	280,0;	0,0;	0,0
613,6364135742188;	264,75;	0,0;	0,0
613,7620849609375;	269,25;	0,0;	0,0
613,8876953125;	259,5;	0,0;	0,0
614,01318359375;	261,75;	0,0;	0,0
614,1387939453125;	281,0;	0,0;	0,0
614,2643432617188;	295,75;	0,0;	0,0
614,3897705078125;	259,0;	0,0;	0,0
614,5152587890625;	277,25;	0,0;	0,0
614,6408081054688;	271,75;	0,0;	0,0
614,7662963867188;	278,0;	0,0;	0,0
614,8917236328125;	272,25;	0,0;	0,0
615,0171508789062;	256,5;	0,0;	0,0
