31.5	11.25
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	146,0;	0,0;	0,0
607,4614868164062;	152,75;	0,0;	0,0
607,5878295898438;	147,5;	0,0;	0,0
607,7142944335938;	156,5;	0,0;	0,0
607,8406982421875;	150,0;	0,0;	0,0
607,967041015625;	143,5;	0,0;	0,0
608,0933837890625;	147,75;	0,0;	0,0
608,2197265625;	154,25;	0,0;	0,0
608,3460083007812;	151,75;	0,0;	0,0
608,4723510742188;	146,0;	0,0;	0,0
608,5986328125;	148,25;	0,0;	0,0
608,7249755859375;	155,25;	0,0;	0,0
608,8511352539062;	152,0;	0,0;	0,0
608,9774169921875;	155,75;	0,0;	0,0
609,1036376953125;	147,5;	0,0;	0,0
609,2297973632812;	149,0;	0,0;	0,0
609,3560180664062;	271,0;	0,0;	0,0
609,4822387695312;	285,0;	0,0;	0,0
609,6083374023438;	290,25;	0,0;	0,0
609,7344970703125;	319,25;	0,0;	0,0
609,8606567382812;	345,5;	0,0;	0,0
609,9866943359375;	376,0;	0,0;	0,0
610,11279296875;	473,5;	0,0;	0,0
610,2388916015625;	869,0;	0,0;	0,0
610,3649291992188;	2662,0;	0,0;	0,0
610,490966796875;	1528,25;	0,0;	0,0
610,6170043945312;	455,0;	0,0;	0,0
610,7430419921875;	351,75;	0,0;	0,0
610,8689575195312;	315,5;	0,0;	0,0
610,9949340820312;	323,5;	0,0;	0,0
611,1209106445312;	297,5;	0,0;	0,0
611,246826171875;	300,0;	0,0;	0,0
611,3727416992188;	286,75;	0,0;	0,0
611,4987182617188;	270,25;	0,0;	0,0
611,6245727539062;	265,75;	0,0;	0,0
611,7504272460938;	268,25;	0,0;	0,0
611,8762817382812;	281,0;	0,0;	0,0
612,0020751953125;	280,75;	0,0;	0,0
612,1279296875;	311,0;	0,0;	0,0
612,2537231445312;	397,25;	0,0;	0,0
612,3794555664062;	303,5;	0,0;	0,0
612,5052490234375;	282,5;	0,0;	0,0
612,6310424804688;	263,25;	0,0;	0,0
612,7567749023438;	253,5;	0,0;	0,0
612,8824462890625;	285,0;	0,0;	0,0
613,0081787109375;	278,25;	0,0;	0,0
613,1339111328125;	279,75;	0,0;	0,0
613,259521484375;	263,0;	0,0;	0,0
613,3851928710938;	271,75;	0,0;	0,0
613,5108642578125;	271,0;	0,0;	0,0
613,6364135742188;	275,0;	0,0;	0,0
613,7620849609375;	270,25;	0,0;	0,0
613,8876953125;	253,5;	0,0;	0,0
614,01318359375;	270,25;	0,0;	0,0
614,1387939453125;	265,5;	0,0;	0,0
614,2643432617188;	284,0;	0,0;	0,0
614,3897705078125;	254,0;	0,0;	0,0
614,5152587890625;	277,25;	0,0;	0,0
614,6408081054688;	260,5;	0,0;	0,0
614,7662963867188;	277,75;	0,0;	0,0
614,8917236328125;	283,5;	0,0;	0,0
615,0171508789062;	267,5;	0,0;	0,0
615,142578125;	275,5;	0,0;	0,0
615,2679443359375;	266,25;	0,0;	0,0
615,3933715820312;	267,75;	0,0;	0,0
615,5187377929688;	282,75;	0,0;	0,0
615,6441040039062;	281,25;	0,0;	0,0
615,7693481445312;	293,75;	0,0;	0,0
615,8947143554688;	294,5;	0,0;	0,0
616,0199584960938;	297,75;	0,0;	0,0
616,145263671875;	347,25;	0,0;	0,0
616,2705688476562;	512,0;	0,0;	0,0
616,3958129882812;	336,75;	0,0;	0,0
616,5210571289062;	297,25;	0,0;	0,0
616,6463012695312;	286,25;	0,0;	0,0
616,771484375;	285,5;	0,0;	0,0
616,8966064453125;	295,0;	0,0;	0,0
617,0217895507812;	307,25;	0,0;	0,0
617,14697265625;	292,5;	0,0;	0,0
617,2720947265625;	283,0;	0,0;	0,0
617,397216796875;	296,25;	0,0;	0,0
617,5222778320312;	283,0;	0,0;	0,0
617,6473388671875;	282,0;	0,0;	0,0
617,7723999023438;	270,75;	0,0;	0,0
617,8975219726562;	280,5;	0,0;	0,0
618,0225219726562;	286,0;	0,0;	0,0
618,1475219726562;	270,5;	0,0;	0,0
618,2725219726562;	268,5;	0,0;	0,0
