36.75	38.25
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	144,0;	0,0;	0,0
607,4614868164062;	148,75;	0,0;	0,0
607,5878295898438;	155,5;	0,0;	0,0
607,7142944335938;	155,5;	0,0;	0,0
607,8406982421875;	154,0;	0,0;	0,0
607,967041015625;	143,5;	0,0;	0,0
608,0933837890625;	154,75;	0,0;	0,0
608,2197265625;	153,75;	0,0;	0,0
608,3460083007812;	152,25;	0,0;	0,0
608,4723510742188;	147,0;	0,0;	0,0
608,5986328125;	142,75;	0,0;	0,0
608,7249755859375;	150,75;	0,0;	0,0
608,8511352539062;	149,75;	0,0;	0,0
608,9774169921875;	148,5;	0,0;	0,0
609,1036376953125;	147,0;	0,0;	0,0
609,2297973632812;	148,25;	0,0;	0,0
609,3560180664062;	261,75;	0,0;	0,0
609,4822387695312;	287,75;	0,0;	0,0
609,6083374023438;	295,75;	0,0;	0,0
609,7344970703125;	307,0;	0,0;	0,0
609,8606567382812;	321,5;	0,0;	0,0
609,9866943359375;	328,25;	0,0;	0,0
610,11279296875;	390,75;	0,0;	0,0
610,2388916015625;	662,25;	0,0;	0,0
610,3649291992188;	1918,0;	0,0;	0,0
610,490966796875;	1179,25;	0,0;	0,0
610,6170043945312;	387,0;	0,0;	0,0
610,7430419921875;	343,75;	0,0;	0,0
610,8689575195312;	296,5;	0,0;	0,0
610,9949340820312;	314,0;	0,0;	0,0
611,1209106445312;	290,0;	0,0;	0,0
611,246826171875;	295,0;	0,0;	0,0
611,3727416992188;	286,75;	0,0;	0,0
611,4987182617188;	286,25;	0,0;	0,0
611,6245727539062;	284,0;	0,0;	0,0
611,7504272460938;	278,5;	0,0;	0,0
611,8762817382812;	287,0;	0,0;	0,0
612,0020751953125;	295,25;	0,0;	0,0
612,1279296875;	339,5;	0,0;	0,0
612,2537231445312;	554,0;	0,0;	0,0
612,3794555664062;	362,25;	0,0;	0,0
612,5052490234375;	300,0;	0,0;	0,0
612,6310424804688;	281,5;	0,0;	0,0
612,7567749023438;	269,25;	0,0;	0,0
612,8824462890625;	280,0;	0,0;	0,0
613,0081787109375;	286,0;	0,0;	0,0
613,1339111328125;	282,5;	0,0;	0,0
613,259521484375;	275,25;	0,0;	0,0
613,3851928710938;	280,5;	0,0;	0,0
613,5108642578125;	287,0;	0,0;	0,0
613,6364135742188;	277,0;	0,0;	0,0
613,7620849609375;	280,75;	0,0;	0,0
613,8876953125;	277,0;	0,0;	0,0
614,01318359375;	277,25;	0,0;	0,0
614,1387939453125;	295,0;	0,0;	0,0
614,2643432617188;	314,5;	0,0;	0,0
614,3897705078125;	271,75;	0,0;	0,0
614,5152587890625;	285,5;	0,0;	0,0
614,6408081054688;	290,5;	0,0;	0,0
614,7662963867188;	288,5;	0,0;	0,0
614,8917236328125;	288,75;	0,0;	0,0
615,0171508789062;	289,75;	0,0;	0,0
615,142578125;	283,75;	0,0;	0,0
615,2679443359375;	280,25;	0,0;	0,0
615,3933715820312;	281,25;	0,0;	0,0
