24.0	45.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	152,0;	0,0;	0,0
607,4614868164062;	153,25;	0,0;	0,0
607,5878295898438;	144,0;	0,0;	0,0
607,7142944335938;	151,75;	0,0;	0,0
607,8406982421875;	149,5;	0,0;	0,0
607,967041015625;	149,5;	0,0;	0,0
608,0933837890625;	147,5;	0,0;	0,0
608,2197265625;	157,0;	0,0;	0,0
608,3460083007812;	152,25;	0,0;	0,0
608,4723510742188;	147,75;	0,0;	0,0
608,5986328125;	141,25;	0,0;	0,0
608,7249755859375;	157,25;	0,0;	0,0
608,8511352539062;	157,0;	0,0;	0,0
608,9774169921875;	143,5;	0,0;	0,0
609,1036376953125;	148,25;	0,0;	0,0
609,2297973632812;	151,0;	0,0;	0,0
609,3560180664062;	286,0;	0,0;	0,0
609,4822387695312;	310,0;	0,0;	0,0
609,6083374023438;	328,25;	0,0;	0,0
609,7344970703125;	371,0;	0,0;	0,0
609,8606567382812;	406,0;	0,0;	0,0
609,9866943359375;	453,0;	0,0;	0,0
610,11279296875;	619,5;	0,0;	0,0
610,2388916015625;	1303,0;	0,0;	0,0
610,3649291992188;	4055,5;	0,0;	0,0
610,490966796875;	2382,0;	0,0;	0,0
610,6170043945312;	607,0;	0,0;	0,0
610,7430419921875;	437,25;	0,0;	0,0
610,8689575195312;	347,5;	0,0;	0,0
610,9949340820312;	364,25;	0,0;	0,0
611,1209106445312;	300,0;	0,0;	0,0
611,246826171875;	304,5;	0,0;	0,0
611,3727416992188;	291,5;	0,0;	0,0
611,4987182617188;	281,75;	0,0;	0,0
611,6245727539062;	288,0;	0,0;	0,0
611,7504272460938;	270,0;	0,0;	0,0
611,8762817382812;	269,75;	0,0;	0,0
612,0020751953125;	274,75;	0,0;	0,0
612,1279296875;	312,25;	0,0;	0,0
612,2537231445312;	398,5;	0,0;	0,0
612,3794555664062;	315,5;	0,0;	0,0
612,5052490234375;	273,75;	0,0;	0,0
612,6310424804688;	268,75;	0,0;	0,0
612,7567749023438;	259,5;	0,0;	0,0
612,8824462890625;	262,25;	0,0;	0,0
613,0081787109375;	276,75;	0,0;	0,0
613,1339111328125;	268,25;	0,0;	0,0
613,259521484375;	257,25;	0,0;	0,0
613,3851928710938;	268,75;	0,0;	0,0
613,5108642578125;	261,0;	0,0;	0,0
613,6364135742188;	259,25;	0,0;	0,0
613,7620849609375;	260,5;	0,0;	0,0
613,8876953125;	268,5;	0,0;	0,0
614,01318359375;	263,75;	0,0;	0,0
614,1387939453125;	251,0;	0,0;	0,0
614,2643432617188;	267,0;	0,0;	0,0
614,3897705078125;	264,25;	0,0;	0,0
614,5152587890625;	251,25;	0,0;	0,0
614,6408081054688;	256,75;	0,0;	0,0
614,7662963867188;	263,0;	0,0;	0,0
614,8917236328125;	271,5;	0,0;	0,0
615,0171508789062;	253,5;	0,0;	0,0
615,142578125;	258,5;	0,0;	0,0
615,2679443359375;	273,25;	0,0;	0,0
