45.0	42.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	149,5;	0,0;	0,0
607,4614868164062;	155,5;	0,0;	0,0
607,5878295898438;	148,0;	0,0;	0,0
607,7142944335938;	154,75;	0,0;	0,0
607,8406982421875;	146,5;	0,0;	0,0
607,967041015625;	142,25;	0,0;	0,0
608,0933837890625;	153,75;	0,0;	0,0
608,2197265625;	150,0;	0,0;	0,0
608,3460083007812;	143,75;	0,0;	0,0
608,4723510742188;	145,75;	0,0;	0,0
608,5986328125;	146,5;	0,0;	0,0
608,7249755859375;	153,75;	0,0;	0,0
608,8511352539062;	156,0;	0,0;	0,0
608,9774169921875;	156,75;	0,0;	0,0
609,1036376953125;	148,25;	0,0;	0,0
609,2297973632812;	153,25;	0,0;	0,0
609,3560180664062;	292,25;	0,0;	0,0
609,4822387695312;	320,0;	0,0;	0,0
609,6083374023438;	338,25;	0,0;	0,0
609,7344970703125;	364,0;	0,0;	0,0
609,8606567382812;	411,0;	0,0;	0,0
609,9866943359375;	479,5;	0,0;	0,0
610,11279296875;	694,0;	0,0;	0,0
610,2388916015625;	1455,5;	0,0;	0,0
610,3649291992188;	4605,5;	0,0;	0,0
610,490966796875;	2679,5;	0,0;	0,0
610,6170043945312;	650,75;	0,0;	0,0
610,7430419921875;	438,5;	0,0;	0,0
610,8689575195312;	346,75;	0,0;	0,0
610,9949340820312;	370,25;	0,0;	0,0
611,1209106445312;	313,25;	0,0;	0,0
611,246826171875;	318,75;	0,0;	0,0
611,3727416992188;	312,25;	0,0;	0,0
611,4987182617188;	276,75;	0,0;	0,0
611,6245727539062;	287,0;	0,0;	0,0
611,7504272460938;	278,5;	0,0;	0,0
611,8762817382812;	274,25;	0,0;	0,0
612,0020751953125;	285,5;	0,0;	0,0
612,1279296875;	318,25;	0,0;	0,0
612,2537231445312;	447,5;	0,0;	0,0
612,3794555664062;	326,75;	0,0;	0,0
612,5052490234375;	280,5;	0,0;	0,0
612,6310424804688;	264,75;	0,0;	0,0
