5.25	3.75
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'2101207U1'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
607,3350219726562;	149,25;	0,0;	0,0
607,4614868164062;	152,5;	0,0;	0,0
607,5878295898438;	150,0;	0,0;	0,0
607,7142944335938;	156,5;	0,0;	0,0
607,8406982421875;	147,75;	0,0;	0,0
607,967041015625;	145,5;	0,0;	0,0
608,0933837890625;	156,25;	0,0;	0,0
608,2197265625;	156,5;	0,0;	0,0
608,3460083007812;	147,75;	0,0;	0,0
608,4723510742188;	142,75;	0,0;	0,0
608,5986328125;	143,75;	0,0;	0,0
608,7249755859375;	146,0;	0,0;	0,0
608,8511352539062;	147,75;	0,0;	0,0
608,9774169921875;	146,25;	0,0;	0,0
609,1036376953125;	137,75;	0,0;	0,0
609,2297973632812;	154,75;	0,0;	0,0
609,3560180664062;	250,5;	0,0;	0,0
609,4822387695312;	258,25;	0,0;	0,0
609,6083374023438;	266,5;	0,0;	0,0
609,7344970703125;	271,25;	0,0;	0,0
609,8606567382812;	276,25;	0,0;	0,0
609,9866943359375;	265,25;	0,0;	0,0
610,11279296875;	282,5;	0,0;	0,0
610,2388916015625;	392,25;	0,0;	0,0
610,3649291992188;	745,0;	0,0;	0,0
610,490966796875;	498,0;	0,0;	0,0
610,6170043945312;	278,5;	0,0;	0,0
610,7430419921875;	275,25;	0,0;	0,0
610,8689575195312;	263,0;	0,0;	0,0
610,9949340820312;	295,5;	0,0;	0,0
611,1209106445312;	266,5;	0,0;	0,0
611,246826171875;	251,25;	0,0;	0,0
611,3727416992188;	265,5;	0,0;	0,0
611,4987182617188;	265,0;	0,0;	0,0
611,6245727539062;	254,75;	0,0;	0,0
611,7504272460938;	259,25;	0,0;	0,0
611,8762817382812;	274,0;	0,0;	0,0
612,0020751953125;	271,75;	0,0;	0,0
612,1279296875;	313,0;	0,0;	0,0
612,2537231445312;	470,25;	0,0;	0,0
612,3794555664062;	321,5;	0,0;	0,0
612,5052490234375;	289,0;	0,0;	0,0
612,6310424804688;	268,75;	0,0;	0,0
612,7567749023438;	261,0;	0,0;	0,0
612,8824462890625;	281,0;	0,0;	0,0
613,0081787109375;	272,75;	0,0;	0,0
613,1339111328125;	263,5;	0,0;	0,0
613,259521484375;	255,25;	0,0;	0,0
613,3851928710938;	271,0;	0,0;	0,0
613,5108642578125;	268,5;	0,0;	0,0
613,6364135742188;	269,75;	0,0;	0,0
613,7620849609375;	273,75;	0,0;	0,0
613,8876953125;	258,0;	0,0;	0,0
614,01318359375;	269,5;	0,0;	0,0
614,1387939453125;	285,75;	0,0;	0,0
614,2643432617188;	314,25;	0,0;	0,0
614,3897705078125;	266,25;	0,0;	0,0
614,5152587890625;	259,0;	0,0;	0,0
